Voltage (V),Current (A),Power (W),Energy (Wh),Frequency (Hz),People Inside
2023-11-01 08:54:10,237.40,0.18,18.90,0.98,49.90,11
2023-11-01 08:54:26,237.50,0.13,12.60,0.98,49.90,1
2023-11-01 08:54:32,237.50,0.15,15.30,0.98,49.90,2
2023-11-01 08:54:37,237.90,0.14,13.70,0.98,49.90,3
2023-11-01 08:54:43,237.60,0.15,14.30,0.98,49.90,4
2023-11-01 08:54:49,237.20,0.15,15.10,0.98,49.90,5
2023-11-01 08:54:55,237.00,0.16,15.00,0.98,49.90,6
2023-11-01 08:55:01,237.20,0.14,13.10,0.98,49.90,7
2023-11-01 08:55:07,237.00,0.14,12.70,0.98,49.90,8
2023-11-01 08:55:13,236.80,0.14,13.00,0.98,49.90,9
2023-11-01 08:55:18,236.30,0.27,56.40,0.98,49.90,10
2023-11-01 08:55:24,235.30,0.28,56.90,0.98,49.90,11
2023-11-01 08:55:30,235.20,0.27,56.00,0.98,49.90,12
2023-11-01 08:55:37,234.90,0.32,63.00,0.98,49.90,13
2023-11-01 08:55:43,234.80,0.27,55.50,0.98,49.90,14
