Timestamp,Voltage (V),Current (A),Power (W),Energy (Wh),Frequency (Hz),People Inside
01-11-2023 -> 08:54:10,229.3,0.26,31.7,1.17,49.9,0
01-11-2023 -> 09:04:10,229,0.77,105.6,1.17,49.9,23
01-11-2023 -> 09:14:10,228.4,1.16,164.4,1.17,49.9,40
01-11-2023 -> 09:24:10,228.1,1.91,293.9,1.17,49.9,62
01-11-2023 -> 09:34:10,227.1,2.19,330,1.17,49.9,67
01-11-2023 -> 09:44:10,227.7,2.3,344.9,1.17,49.9,70
01-11-2023 -> 09:54:10,228.4,2.3,344.9,1.17,49.9,70
01-11-2023 -> 10:04:10,228.6,2.3,344.9,1.17,49.9,70
01-11-2023 -> 10:14:10,228.9,2.3,344.9,1.17,49.9,70
01-11-2023 -> 10:24:10,228.9,2.3,330.9,1.15,49.9,60
01-11-2023 -> 10:34:10,229,2,327.9,1.13,49.9,50
01-11-2023 -> 10:44:10,228.8,0.25,31.9,1.17,49.9,0
01-11-2023 -> 15:00:34,228.9,0.27,31.7,1.17,50,0
01-11-2023 -> 15:10:34,229,1.08,161.6,1.17,49.9,35
01-11-2023 -> 15:20:34,228.8,1.08,161.6,1.17,49.9,35
01-11-2023 -> 15:30:34,229,1.34,191.9,1.17,50,46
01-11-2023 -> 15:40:34,228.7,1.66,241.5,1.17,50,53
01-11-2023 -> 15:50:34,228.7,1.68,242.7,1.17,50,58
01-11-2023 -> 16:00:34,228.5,1.88,274.4,1.17,50,60
01-11-2023 -> 16:10:34,228.6,1.88,274.4,1.17,50,60
01-11-2023 -> 16:20:34,228.4,2.19,330,1.18,50,67
01-11-2023 -> 16:30:34,229,2.3,344.9,1.18,50,70
01-11-2023 -> 16:40:34,228.2,0.77,101.9,1.18,50,25
01-11-2023 -> 16:50:34,228.2,0.26,31.5,1.17,50,0
02-11-2023 -> 08:54:10,228.1,0.26,31.5,1.18,50,0
02-11-2023 -> 09:04:10,228.2,1.81,276.9,1.18,50,59
02-11-2023 -> 09:14:10,228.4,2.11,318.1,1.18,50,65
02-11-2023 -> 09:24:10,228.7,2.11,318.1,1.18,50,65
02-11-2023 -> 09:34:10,229.2,2.11,318.1,1.18,50,65
02-11-2023 -> 09:44:10,229.5,2.11,318.1,1.18,50,65
02-11-2023 -> 09:54:10,229.4,2.11,318.1,1.18,50,65
02-11-2023 -> 10:04:10,229.1,1.86,275.3,1.18,50,60
02-11-2023 -> 10:14:10,228.4,1.86,275.3,1.18,50,60
02-11-2023 -> 10:24:10,227.9,1.92,293.3,1.18,50,63
02-11-2023 -> 10:34:10,227.6,0.77,101.9,1.18,50,23
02-11-2023 -> 10:44:10,227.4,0.27,32.9,1.18,50,0
02-11-2023 -> 15:00:34,228.9,0.27,32.9,1.18,50,0
02-11-2023 -> 15:10:34,229.1,0.27,32.9,1.18,50,2
02-11-2023 -> 15:20:34,229.4,0.39,49.1,1.18,50,5
02-11-2023 -> 15:30:34,229.7,0.43,55.9,1.18,50,9
02-11-2023 -> 15:40:34,229.3,0.6,74.7,1.17,49.9,14
02-11-2023 -> 15:50:34,229.3,0.77,105.6,1.17,49.9,23
02-11-2023 -> 16:00:34,229,1.16,164.4,1.17,49.9,40
02-11-2023 -> 16:10:34,228.4,1.91,293.9,1.17,49.9,62
02-11-2023 -> 16:20:34,228.1,1.91,293.9,1.17,49.9,62
02-11-2023 -> 16:30:34,227.1,2.3,344.9,1.17,49.9,70
02-11-2023 -> 16:40:34,227.7,1.94,294.7,1.17,49.9,63
02-11-2023 -> 16:50:34,228.4,0.26,31.9,1.17,49.9,0

03-11-2023 -> 08:54:10,228.6,0.26,31.9,1.17,49.9,0
03-11-2023 -> 09:04:10,228.9,0.5,57.1,1.17,49.9,12
03-11-2023 -> 09:14:10,228.9,0.69,97.8,1.17,49.9,19
03-11-2023 -> 09:24:10,229,0.69,97.8,1.17,49.9,19
03-11-2023 -> 09:34:10,228.8,0.7,101,1.17,49.9,20
03-11-2023 -> 09:44:10,228.9,0.8,116.3,1.17,50,28
03-11-2023 -> 09:54:10,229,0.9,131.8,1.17,49.9,31
03-11-2023 -> 10:04:10,228.8,1.08,161.6,1.17,49.9,35
03-11-2023 -> 10:14:10,229,1.34,191.9,1.17,50,46
03-11-2023 -> 10:24:10,228.7,1.66,241.5,1.17,50,53
03-11-2023 -> 10:34:10,228.7,1.68,242.7,1.17,50,58
03-11-2023 -> 10:44:10,228.5,0.26,31.8,1.17,50,0
03-11-2023 -> 15:00:34,228.6,0.25,31.9,1.17,50,0
03-11-2023 -> 15:10:34,228.4,0.7,101,1.18,50,20
03-11-2023 -> 15:20:34,229,1.37,197.2,1.18,50,47
03-11-2023 -> 15:30:34,228.2,1.37,197.2,1.18,50,47
03-11-2023 -> 15:40:34,228.2,1.47,206.9,1.18,50,49
03-11-2023 -> 15:50:34,228.1,1.47,206.9,1.18,50,49
03-11-2023 -> 16:00:34,228.2,1.81,276.9,1.18,50,58
03-11-2023 -> 16:10:34,228.4,2.11,318.1,1.18,50,65
03-11-2023 -> 16:20:34,228.7,1.54,238.5,1.18,50,51
03-11-2023 -> 16:30:34,229.2,1.54,238.5,1.18,50,51
03-11-2023 -> 16:40:34,229.5,0.48,51,1.18,50,10
03-11-2023 -> 16:50:34,229.4,0.27,31.9,1.18,50,0

04-11-2023 -> 08:54:10,229.1,0.27,31.9,1.18,50,0
04-11-2023 -> 09:04:10,228.4,1.86,275.3,1.18,50,60
04-11-2023 -> 09:14:10,227.9,1.92,293.3,1.18,50,60
04-11-2023 -> 09:24:10,227.6,2.14,328.4,1.18,50,62
04-11-2023 -> 09:34:10,227.4,2.16,330,1.18,50,65
04-11-2023 -> 09:44:10,228.9,2.16,330,1.18,50,65
04-11-2023 -> 09:54:10,229.1,2.16,330,1.18,50,65
04-11-2023 -> 10:04:10,229.4,2.16,330,1.18,50,65
04-11-2023 -> 10:14:10,229.7,2.16,330,1.18,50,65
04-11-2023 -> 10:24:10,229.7,1.54,238.5,1.18,50,51
04-11-2023 -> 10:34:10,229.7,0.43,55.9,1.18,50,13
04-11-2023 -> 10:44:10,229.6,0.25,31.9,1.18,50,0
04-11-2023 -> 15:00:34,229.6,0.49,62.7,1.18,50,0
04-11-2023 -> 15:10:34,229.4,0.65,86,1.18,50,17
04-11-2023 -> 15:20:34,228.4,1.86,275.3,1.18,50,60
04-11-2023 -> 15:30:34,227.9,1.92,293.3,1.18,50,60
04-11-2023 -> 15:40:34,227.6,2.14,328.4,1.18,50,62
04-11-2023 -> 15:50:34,227.4,2.16,330,1.18,50,67
04-11-2023 -> 16:00:34,227.4,2.16,330,1.18,50,67
04-11-2023 -> 16:10:34,229,2.3,344.9,1.18,50,70
04-11-2023 -> 16:20:34,229,2.3,344.9,1.18,50,70
04-11-2023 -> 16:30:34,229,2.3,344.9,1.18,50,70
04-11-2023 -> 16:40:34,228.2,0.77,101.9,1.18,50,20
04-11-2023 -> 16:50:34,228.2,0.26,31.5,1.17,50,0

06-11-2023 -> 08:54:10,228.2,0.26,31.5,1.17,50,0
06-11-2023 -> 09:04:10,228.2,1.81,276.9,1.18,50,54
06-11-2023 -> 09:14:10,228.4,2.11,318.1,1.18,50,60
06-11-2023 -> 09:24:10,228.7,2.11,318.1,1.18,50,60
06-11-2023 -> 09:34:10,229.2,2.11,318.1,1.18,50,60
06-11-2023 -> 09:44:10,229.5,2.11,318.1,1.18,50,60
06-11-2023 -> 09:54:10,229.4,2.11,318.1,1.18,50,60
06-11-2023 -> 10:04:10,229.1,2.11,318.1,1.18,50,60
06-11-2023 -> 10:14:10,228.4,2.11,318.1,1.18,50,60
06-11-2023 -> 10:24:10,227.9,1.92,293.3,1.18,50,57
06-11-2023 -> 10:34:10,227.6,1.54,238.5,1.18,50,40
06-11-2023 -> 10:44:10,227.4,0.27,32.9,1.18,50,0
